categoryId,yelpCategory
healthy-deli,delis
healthy-hotpot,hotpot
healthy-japanese,japanese
healthy-rawfood,raw_food
healthy-salad,salad
healthy-sandwiches,sandwiches
healthy-seafood,seafood
healthy-sushi,sushi
healthy-viet,vietnamese
carbs-adv-colombian,colombian
carbs-adv-domin,dominican
carbs-adv-latin,latin
carbs-adv-mex,mexican
carbs-adv-pers,persian
carbs-adv-salv,slvadoran
carbs-adv-soul,soulfood
carbs-adv-ven,venezuelan
carbs-asian-fusion,asianfusion
carbs-asian-cambo,cambodian
carbs-asian-canto,cantonese
carbs-asian-chinese,chinese
carbs-asian-fil,filipino
carbs-asian-indo,indonesian
carbs-asian-indpak,indpak
carbs-asian-kor,korean
carbs-asian-lao,laotian
carbs-asian-malay,malaysian
carbs-asian-paki,pakistani
carbs-asian-shang,shanghainese
carbs-asian-sing,singaporean
carbs-asian-sze,szechuan
carbs-asian-taiwan,taiwanese
carbs-asian-thai,thai
carbs-asian-viet,vietnamese
carbs-west-ital,italian
carbs-west-pizza,pizza
carbs-west-soul,soulfood
carbs-west-ukra,ukrainian
meat-adv-afgh,afghani
meat-adv-afr,african
meat-adv-arab,arabian
meat-adv-arg,argentine
meat-adv-bra,brazilian
meat-adv-carib,caribbean
meat-adv-colomb,colombian
meat-adv-cub,cuban
meat-adv-dom,dominican
meat-adv-halal,halal
meat-adv-mex,mexican
meat-adv-moroc,moroccan
meat-adv-peru,peruvian
meat-adv-pr,puertorican
meat-adv-salv,salvadoran
meat-adv-seneg,senegalese
meat-adv-soul,soulfood
meat-adv-turk,turkish
meat-adv-vene,venezuelan
meat-asian-bbq,bbq
meat-asian-fil,filipino
meat-asian-haw,hawaiian
meat-asian-hotpot,hotpot
meat-asian-kor,korean
meat-asian-mong,mongolian
meat-west-burg,burgers
meat-west-chsteak,cheesesteaks
meat-west-germ,german
meat-west-greek,greek
meat-west-hotdog,hotdog
meat-west-hung,hungarian
meat-west-newam,newamerican
meat-west-polish,polish
meat-west-russ,russian
meat-west-soul,soulfood
meat-west-texmex,tex-mex
meat-west-tradam,tradamerican
sea-adv-turk,turkish
sea-asian-jap,japanese
sea-asian-sushi,sushi
sea-west-fishnc,fishnchips
sea-west-greek,greek
sea-west-newam,newamerican
sea-west-port,portuguese
veg-asian-hotpot,hotpot
veg-asian-indpak,indpak
veg-west-salad,salad
snack-bagels,bagels
snack-baker,bakeries
snack-cafe,cafes
snack-csteak,cheesesteaks
snack-wings,chicken_wings
snack-crepe,creperies
snack-deli,delis
snack-dimsum,dimsum
snack-donuts,donuts
snack-fondue,fondue
snack-foodtruck,foodtrucks
snack-hotdog,hotdog
snack-juice,juicebars
snack-sandwich,sandwiches
snack-soup,soup
snack-tapas,tapas
snack-tea,tea
